number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
20,label_5.0,federated_min_max,CIFAR10,2,120,0.6463,0.6431687268619568,1.3166598081588743,0.6437529598404662,0.6463,0.651199996,1.311054825782776
50,quantity_0.7,layer_norm,CIFAR10,2,45,0.6706,0.6678052944837438,0.9423413872718812,0.6682040830730144,0.6706,0.6679999828338623,0.948252261
50,quantity_5.0,layer_norm,CIFAR10,2,80,0.6526,0.6517695891663116,0.9826362133026124,0.6541104605846167,0.6526,0.6600000262260437,0.9693151116371156
50,quantity_0.7,layer_norm,CIFAR10,1,47,0.6736,0.6687134780038855,0.9324805736541748,0.6679693986706615,0.6736,0.6751999855041504,0.9289215803146362
50,quantity_5.0,default,CIFAR10,1,80,0.5964,0.5934400743011538,1.1612926721572876,0.5955580026858758,0.5964,0.600600004,1.1621640920639038
50,quantity_5.0,layer_norm,CIFAR10,1,80,0.6956,0.6928142380526741,0.8943596482276917,0.6930188015529819,0.6956,0.6904000043869019,0.8970402479171753
50,label_5.0,layer_norm,CIFAR10,2,80,0.6609,0.656083312,0.9680938720703124,0.6561927601040592,0.6609,0.6575999855995178,0.9748079180717468
50,feature_0.01,layer_norm,CIFAR10,3,80,0.6612,0.6572023146401077,0.9841278195381165,0.6573373371573503,0.6612,0.6642000079154968,0.9863806366920472
50,feature_0.01,layer_norm,CIFAR10,2,80,0.6728,0.6686135166281838,0.949777365,0.6696524227482015,0.6728,0.6723999977111816,0.9557016491889954
50,quantity_5.0,default,CIFAR10,3,80,0.5945,0.5891447274517566,1.1858561038970947,0.5901728967909488,0.5945,0.5852000117301941,1.2015022039413452
50,quantity_0.7,default,CIFAR10,1,80,0.6268,0.6242805979613388,1.0917717218399048,0.6245435116366536,0.6268,0.6230000257492065,1.0930922031402588
50,quantity_0.7,federated_robust_scaling,CIFAR10,1,80,0.7439,0.7415448201146244,0.7625260949134827,0.7403474557454481,0.7439,0.7423999905586243,0.7566457390785217
50,quantity_0.7,default,CIFAR10,3,80,0.6337,0.6305351387431075,1.0715270042419434,0.6326896055918536,0.6337,0.6371999979019165,1.069002628326416
50,quantity_0.7,federated_min_max,CIFAR10,1,80,0.6908,0.6885231708373354,0.8852905035018921,0.6874130812767533,0.6908,0.6940000057220459,0.8787733316421509
50,quantity_0.7,federated_robust_scaling,CIFAR10,3,80,0.7219,0.7202842349337927,0.801396906,0.719504441,0.7219,0.7228000164031982,0.7953979969024658
50,quantity_0.7,federated_z_score,CIFAR10,1,80,0.7283,0.7262780997879612,0.7895816564559937,0.7252182493426428,0.7283,0.7342000007629395,0.7897893190383911
50,quantity_0.7,federated_min_max,CIFAR10,3,80,0.6885,0.685679876,0.8897703886032104,0.6850467192073574,0.6885,0.6952000260353088,0.8871861100196838
50,quantity_0.7,local_robust_scaling,CIFAR10,1,80,0.7299,0.7285681664509042,0.7834210991859436,0.7280712758567274,0.7299,0.7369999885559082,0.7753859162330627
50,quantity_0.7,federated_z_score,CIFAR10,3,80,0.7279,0.7255049052409945,0.7937346696853638,0.7251825245009114,0.7279,0.732200027,0.7790812253952026
50,quantity_0.7,instance_norm,CIFAR10,1,80,0.694,0.6928731585860685,0.907521904,0.6931729795019965,0.694,0.7080000042915344,0.8929631114006042
50,quantity_0.7,local_robust_scaling,CIFAR10,3,80,0.7296,0.7275867512272651,0.7922096252441406,0.7269247474544317,0.7296,0.7300000190734863,0.7867646813392639
50,quantity_0.7,group_norm,CIFAR10,1,80,0.6939,0.6925766343991954,0.8905138969421387,0.6932207598107128,0.6939,0.7021999955177307,0.8846062421798706
50,quantity_0.7,instance_norm,CIFAR10,3,80,0.7011,0.6994757763797035,0.8837538957595825,0.6997117667788505,0.7011,0.7081999778747559,0.8968799114227295
50,quantity_0.7,batch_norm,CIFAR10,1,58,0.7126,0.709885831,0.8558346629142761,0.709881839,0.7126,0.722000003,0.8399509787559509
50,quantity_0.7,group_norm,CIFAR10,3,80,0.7025,0.6998472177713548,0.8595787286758423,0.6994973112598415,0.7025,0.7113999724388123,0.8546199202537537
50,quantity_0.7,local_min_max,CIFAR10,1,80,0.7212,0.7201454068732014,0.8174645900726318,0.7194154929070978,0.7212,0.7239999771118164,0.802935779
50,quantity_0.7,local_z_score,CIFAR10,1,80,0.7265,0.7253397637523673,0.7901597619056702,0.7247998697519654,0.7265,0.7337999939918518,0.7696160078048706
50,quantity_0.7,layer_norm,CIFAR10,3,80,0.7019,0.7004073744922349,0.8542558550834656,0.7003558119443284,0.7019,0.7138000130653381,0.8488336205482483
50,quantity_5.0,federated_robust_scaling,CIFAR10,1,80,0.6901,0.6887066329411952,0.8882617354393005,0.6886128245578268,0.6901,0.6984000205993652,0.8801231384277344
50,quantity_0.7,batch_norm,CIFAR10,3,68,0.7211,0.7200419281000182,0.8322579860687256,0.7200037020863934,0.7211,0.7224000096321106,0.8136277198791504
50,quantity_5.0,federated_min_max,CIFAR10,1,80,0.6542,0.6508565519631347,0.9991400241851808,0.6498696389224304,0.6542,0.657800019,0.9987137913703918
50,quantity_0.7,local_min_max,CIFAR10,3,80,0.7023,0.7003720231181029,0.864507794,0.6991753484148954,0.7023,0.7103999853134155,0.8592919707298279
50,quantity_5.0,federated_z_score,CIFAR10,1,80,0.6939,0.6912173168130198,0.8841086626052856,0.6904457480556023,0.6939,0.699999988,0.8740944266319275
50,quantity_0.7,local_z_score,CIFAR10,3,80,0.7361,0.734765788,0.7717246413230896,0.7342977131102835,0.7361,0.7419999837875366,0.7666396498680115
50,quantity_5.0,local_robust_scaling,CIFAR10,1,80,0.6943,0.6910755045984203,0.8786524534225464,0.6897583521671898,0.6943,0.696399987,0.8757214546203613
50,quantity_5.0,federated_robust_scaling,CIFAR10,3,80,0.6962,0.6944679510580519,0.8788388967514038,0.6935782749716479,0.6962,0.6948000192642212,0.8815866112709045
50,quantity_0.7,default,CIFAR10,2,60,0.6331,0.6303914297573261,1.0702297687530518,0.6293034976126386,0.6331,0.6341999769210815,1.0884463787078855
50,quantity_5.0,federated_min_max,CIFAR10,3,80,0.6558,0.6530317213798292,0.9828445315361024,0.6523056772968622,0.6558,0.657800019,0.9881325364112854
50,quantity_5.0,instance_norm,CIFAR10,1,80,0.6671,0.6639592465825292,0.9727359414100648,0.6638220732188661,0.6671,0.6761999726295471,0.9693183302879332
50,quantity_0.7,federated_robust_scaling,CIFAR10,2,80,0.7331,0.7311335549904022,0.7777338624000549,0.7303929693523445,0.7331,0.7400000095367432,0.7648879885673523
50,quantity_5.0,federated_z_score,CIFAR10,3,80,0.7029,0.699612087,0.8654448390007019,0.6984784081124314,0.7029,0.7067999839782715,0.8629517555236816
50,quantity_0.7,federated_min_max,CIFAR10,2,80,0.7088,0.7067515061096957,0.8382675051689148,0.7063643705380718,0.7088,0.7142000198364258,0.8388519287109375
50,quantity_5.0,group_norm,CIFAR10,1,80,0.6652,0.6638428297690155,0.9786260724067688,0.6637419328088973,0.6652,0.6714000105857849,0.9754796028137208
50,quantity_5.0,local_robust_scaling,CIFAR10,3,80,0.6938,0.6907304159655759,0.8846717476844788,0.6902941556138524,0.6938,0.7038000226020813,0.8714630007743835
50,quantity_0.7,federated_z_score,CIFAR10,2,80,0.7308,0.7293588541503777,0.787226677,0.7293278989346138,0.7308,0.7360000014305115,0.7686577439308167
