number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_accuracy,test_f1,test_loss,test_precision,test_recall,validation_accuracy,validation_loss
50,feature_0.01,default,MNIST,2,44,0.9791,0.979086606,0.08341822,0.979111302,0.9791,0.977833331,0.091776177
50,feature_0.01,federated_robust_scaling,MNIST,2,60,0.5674,0.594865873,1.435272455,0.696529215,0.5674,0.567166686,1.403299451
50,feature_0.01,federated_min_max,MNIST,2,60,0.983,0.983000083,0.051836535,0.983032571,0.983,0.979833305,0.071743958
50,feature_0.01,federated_z_score,MNIST,2,60,0.9837,0.983693927,0.06699387,0.983702083,0.9837,0.982166648,0.073718391
50,feature_0.01,local_robust_scaling,MNIST,2,60,0.6405,0.640909015,1.801423788,0.67249408,0.6405,0.633833349,1.593922853
50,feature_0.01,instance_norm,MNIST,2,60,0.9861,0.986092628,0.043593783,0.986104264,0.9861,0.984666646,0.058888819
50,feature_0.01,group_norm,MNIST,2,60,0.9851,0.985095102,0.044823732,0.985100335,0.9851,0.985000014,0.056022882
50,feature_0.01,layer_norm,MNIST,2,60,0.9869,0.986898453,0.043960139,0.986906652,0.9869,0.983500004,0.059814103
50,feature_0.01,batch_norm,MNIST,2,60,0.989,0.988998666,0.039041493,0.98900611,0.989,0.98483336,0.057782162
50,feature_0.01,local_min_max,MNIST,2,1,0.0766,0.033604654,5.718919277,0.151733476,0.0766,0.068666667,6.379310608
50,feature_0.01,default,MNIST,3,60,0.9803,0.980301204,0.07257539,0.980338034,0.9803,0.979166687,0.089680508
50,feature_0.01,local_z_score,MNIST,2,7,0.9252,0.925057537,14.01723766,0.925058927,0.9252,0.926166654,7.074550629
50,feature_0.01,default,MNIST,1,47,0.9787,0.978694306,0.085591279,0.978734065,0.9787,0.979333341,0.091113791
50,feature_0.1,default,MNIST,2,44,0.9786,0.978601001,0.078011312,0.978641897,0.9786,0.977166653,0.092488259
50,feature_0.01,federated_robust_scaling,MNIST,3,60,0.7176,0.713373,1.025427818,0.724823039,0.7176,0.709833324,0.997318268
50,feature_0.01,federated_robust_scaling,MNIST,1,60,0.7122,0.709492836,1.019146323,0.713222147,0.7122,0.70933336,0.99017185
50,feature_0.1,federated_robust_scaling,MNIST,2,60,0.7623,0.761572896,0.772058427,0.764963738,0.7623,0.76183331,0.758469641
50,feature_0.01,federated_min_max,MNIST,3,60,0.9848,0.984791779,0.04958741,0.984810414,0.9848,0.979499996,0.06769973
50,feature_0.01,federated_min_max,MNIST,1,60,0.983,0.983000711,0.059047785,0.983039976,0.983,0.977333307,0.07065247
50,feature_0.1,federated_min_max,MNIST,2,60,0.983,0.982994274,0.051601306,0.98304576,0.983,0.977333307,0.070379168
50,feature_0.01,federated_z_score,MNIST,3,60,0.9837,0.983699724,0.111005738,0.983725635,0.9837,0.983333349,0.057973333
50,feature_0.01,federated_z_score,MNIST,1,48,0.9837,0.983693156,0.069385357,0.983706592,0.9837,0.980000019,0.068182431
50,feature_0.1,federated_z_score,MNIST,2,60,0.9848,0.98479576,0.053141888,0.984806157,0.9848,0.981999993,0.069396868
50,feature_0.01,local_robust_scaling,MNIST,3,60,0.6703,0.666843634,1.844458222,0.675738037,0.6703,0.680333316,1.581083059
50,feature_0.01,local_robust_scaling,MNIST,1,60,0.672,0.670146579,2.144469976,0.680419518,0.672,0.661666691,1.680759072
