number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_loss,test_mae,test_r2,validation_loss,validation_r2
30,quantity_0.7,default,Parkinson’s,2,1,144.40313720703125,9.346859913,-0.299545247,125.69876861572266,-0.015303182
30,quantity_0.7,federated_robust_scaling,Parkinson’s,2,84,37.49177169799805,4.697934107613461,0.6625955279242157,39.432586669921875,0.6814923676215827
30,quantity_0.7,federated_min_max,Parkinson’s,2,84,52.69508743286133,5.377759912144498,0.5257742961174603,55.65401077270508,0.550467467
30,quantity_0.7,federated_z_score,Parkinson’s,2,84,25.630630493164062,3.8068787507885657,0.7693389734553359,25.83863067626953,0.7912943762632275
30,quantity_0.7,local_robust_scaling,Parkinson’s,2,84,391.4308776855469,5.714930906812533,-2.522653708,40.290260314941406,0.674564635
30,quantity_0.7,instance_norm,Parkinson’s,2,36,102.88833618164062,7.665835218315418,0.074063812,110.68587493896484,0.105960345
30,quantity_0.7,group_norm,Parkinson’s,2,11,101.44623565673828,7.594915991300694,0.087041705,110.5795440673828,0.10681907165260895
30,quantity_0.7,federated_yeo_johnson,Parkinson’s,2,84,42.91170501708984,5.057925546944985,0.6138193390546438,36.16675949,0.7078712743697386
30,quantity_0.7,layer_norm,Parkinson’s,2,45,105.91670989990234,7.774816595945497,0.046810205,116.55340576171876,0.058566454892619135
30,quantity_0.7,batch_norm,Parkinson’s,2,72,70.40888977050781,6.4977581212322635,0.366360275,77.38202667236328,0.37496441816809023
30,quantity_0.7,local_min_max,Parkinson’s,2,84,68.37502289,6.328865741101433,0.3846638170413667,76.06072235107422,0.38563691461683103
30,quantity_0.7,local_z_score,Parkinson’s,2,84,26.43831443786621,3.8440735890628326,0.762070316,27.679052352905273,0.776428792
30,quantity_0.7,local_yeo_johnson,Parkinson’s,2,84,197.3313140869141,5.225832787628044,-0.775869307,39.83811950683594,0.6782166529789029
30,quantity_5.0,default,Parkinson’s,2,2,130.4467315673828,8.787336336,-0.17394572,131.85708618164062,-0.065045545
30,quantity_5.0,federated_robust_scaling,Parkinson’s,2,84,51.76620101928711,5.647586585733165,0.5341338034128171,55.73432540893555,0.5498187364702818
30,quantity_5.0,federated_min_max,Parkinson’s,2,84,71.40678405761719,6.433167292603528,0.35737988233159723,76.39930725097656,0.38290211659880546
30,quantity_5.0,layer_norm,Parkinson’s,2,84,88.35179901123047,7.336827652687793,0.20488453752921132,102.00098419189452,0.17611039818277885
30,quantity_5.0,federated_z_score,Parkinson’s,2,84,34.133033752441406,4.442861717121355,0.6928222436736287,33.120948791503906,0.7324731311718355
30,quantity_5.0,local_robust_scaling,Parkinson’s,2,84,51.28889083862305,5.592302695180855,0.5384293491018483,54.71644592285156,0.5580404491185936
30,quantity_5.0,instance_norm,Parkinson’s,2,62,99.69783020019533,7.5437930492339325,0.10277664273214848,110.91734313964844,0.10409070687713706
30,quantity_0.7,federated_z_score,Parkinson’s,3,84,25.222681045532227,3.7897322793724793,0.7764011411828646,22.44637680053711,0.8111359137911467
30,quantity_5.0,group_norm,Parkinson’s,2,37,100.97589874267578,7.576803603,0.091274654,111.87782287597656,0.096332395
30,quantity_5.0,batch_norm,Parkinson’s,2,84,72.06492614746094,6.696973247458481,0.3514567999864223,79.07490539550781,0.3612904492411906
30,quantity_5.0,local_min_max,Parkinson’s,2,84,73.26297760009766,6.490901884745332,0.34067505128382436,82.02844238,0.3374341418307397
30,quantity_5.0,local_z_score,Parkinson’s,2,84,45.525596618652344,5.040746437496826,0.5902956814194362,44.119022369384766,0.6436387352159703
